️[4:07 PM, 4/25/2025] G: Babyyy
[4:07 PM, 4/25/2025] G: Hiiiii
[4:07 PM, 4/25/2025] Ashutosh: Heyyyy babyyy
[4:08 PM, 4/25/2025] Ashutosh: Kaisa hua paper?
[4:08 PM, 4/25/2025] G: Kaise ho?
[4:08 PM, 4/25/2025] G: Acha ho gya bb
[4:08 PM, 4/25/2025] Ashutosh: Bss aapki yaado me khoya sa hu
[4:08 PM, 4/25/2025] G: Third section was somewhat tricky
[4:08 PM, 4/25/2025] G: But ho gya
[4:08 PM, 4/25/2025] Ashutosh: Je hui na baat
[4:08 PM, 4/25/2025] G: 100 mein se 75 chahiye hai
[4:08 PM, 4/25/2025] G: Aa he jayege
[4:08 PM, 4/25/2025] G: Awww
[4:08 PM, 4/25/2025] G: Mein hu naaa😘
[4:09 PM, 4/25/2025] Ashutosh: Aaj toh bro mze se sooyega
[4:09 PM, 4/25/2025] Ashutosh: Babyy yrr aaj pta ne kya tha merese toh utha he nahi jaa rha tha
[4:09 PM, 4/25/2025] Ashutosh: Mtlb mai pehle 9 bje utha vansh ne kha motor lga de
[4:10 PM, 4/25/2025] Ashutosh: Usi time antrakish aagya room me maine usko bol diya
[4:10 PM, 4/25/2025] Ashutosh: Fir uske baad mai fir soogya
[4:10 PM, 4/25/2025] Ashutosh: Fir vansh paper dene jaa rha tha maine all the best bola
[4:10 PM, 4/25/2025] Ashutosh: Fir soogya
[4:10 PM, 4/25/2025] Ashutosh: Fir voh vapis aya paper dekr
[4:10 PM, 4/25/2025] Ashutosh: Mai firse soogya
[4:11 PM, 4/25/2025] Ashutosh: Fir end me mujhe sharam aagyi
[4:11 PM, 4/25/2025] Ashutosh: Aur uth he gya
[4:11 PM, 4/25/2025] G: Baby
[4:11 PM, 4/25/2025] G: Koi ne
[4:11 PM, 4/25/2025] G: Pr shyd aapko
[4:11 PM, 4/25/2025] G: Iron deficiency toh ne ho gyi
[4:12 PM, 4/25/2025] Ashutosh: Pta ne babyy
